caseid,event
case0,a
case0,b
case0,d
case0,c
case0,f
case0,g
case0,h
case0,n
case0,w
case1,a
case1,b
case1,d
case1,c
case1,f
case1,g
case1,h
case1,n
case1,w
case2,a
case2,b
case2,d
case2,c
case2,f
case2,g
case2,h
case2,n
case2,w
case3,a
case3,b
case3,d
case3,c
case3,f
case3,g
case3,h
case3,n
case3,w
case4,a
case4,b
case4,d
case4,c
case4,f
case4,g
case4,h
case4,n
case4,w
case5,a
case5,b
case5,d
case5,c
case5,f
case5,g
case5,h
case5,n
case5,w
case6,a
case6,b
case6,d
case6,c
case6,f
case6,g
case6,h
case6,n
case6,w
case7,a
case7,b
case7,d
case7,c
case7,f
case7,g
case7,h
case7,n
case7,w
case8,a
case8,b
case8,d
case8,c
case8,f
case8,g
case8,h
case8,n
case8,w
case9,a
case9,b
case9,d
case9,c
case9,f
case9,g
case9,h
case9,n
case9,w
case10,a
case10,b
case10,d
case10,c
case10,f
case10,g
case10,h
case10,n
case10,w
case11,a
case11,b
case11,d
case11,c
case11,f
case11,g
case11,h
case11,n
case11,w
case12,a
case12,b
case12,d
case12,c
case12,f
case12,g
case12,h
case12,n
case12,w
case13,a
case13,b
case13,d
case13,c
case13,f
case13,g
case13,h
case13,n
case13,w
case14,a
case14,b
case14,d
case14,c
case14,f
case14,g
case14,h
case14,n
case14,w
case15,a
case15,b
case15,d
case15,c
case15,f
case15,g
case15,h
case15,n
case15,w
case16,a
case16,b
case16,d
case16,c
case16,f
case16,g
case16,h
case16,n
case16,w
case17,a
case17,b
case17,d
case17,c
case17,f
case17,g
case17,h
case17,n
case17,w
case18,a
case18,b
case18,d
case18,c
case18,f
case18,g
case18,h
case18,n
case18,w
case19,a
case19,b
case19,d
case19,c
case19,f
case19,g
case19,h
case19,n
case19,w
case20,a
case20,b
case20,d
case20,c
case20,f
case20,g
case20,h
case20,n
case20,w
case21,a
case21,b
case21,d
case21,c
case21,f
case21,g
case21,h
case21,n
case21,w
case22,a
case22,b
case22,d
case22,c
case22,f
case22,g
case22,h
case22,n
case22,w
case23,a
case23,b
case23,d
case23,c
case23,f
case23,g
case23,h
case23,n
case23,w
case24,a
case24,b
case24,d
case24,c
case24,f
case24,g
case24,h
case24,n
case24,w
case25,a
case25,b
case25,d
case25,c
case25,f
case25,g
case25,h
case25,n
case25,w
case26,a
case26,b
case26,d
case26,c
case26,f
case26,g
case26,h
case26,n
case26,w
case27,a
case27,b
case27,d
case27,c
case27,f
case27,g
case27,h
case27,n
case27,w
case28,a
case28,b
case28,d
case28,c
case28,f
case28,g
case28,h
case28,n
case28,w
case29,a
case29,b
case29,d
case29,c
case29,f
case29,g
case29,h
case29,n
case29,w
case30,a
case30,b
case30,d
case30,c
case30,f
case30,g
case30,h
case30,n
case30,w
case31,a
case31,b
case31,d
case31,c
case31,f
case31,g
case31,h
case31,n
case31,w
case32,a
case32,b
case32,d
case32,c
case32,f
case32,g
case32,h
case32,n
case32,w
case33,a
case33,b
case33,d
case33,c
case33,f
case33,g
case33,h
case33,n
case33,w
case34,a
case34,b
case34,d
case34,c
case34,f
case34,g
case34,h
case34,n
case34,w
case35,a
case35,b
case35,d
case35,c
case35,f
case35,g
case35,h
case35,n
case35,w
case36,a
case36,b
case36,d
case36,c
case36,f
case36,g
case36,h
case36,n
case36,w
case37,a
case37,b
case37,d
case37,c
case37,f
case37,g
case37,h
case37,n
case37,w
case38,a
case38,b
case38,d
case38,c
case38,f
case38,g
case38,h
case38,n
case38,w
case39,a
case39,b
case39,d
case39,c
case39,f
case39,g
case39,h
case39,n
case39,w
case40,a
case40,b
case40,d
case40,c
case40,f
case40,g
case40,h
case40,n
case40,w
case41,a
case41,b
case41,d
case41,c
case41,f
case41,g
case41,h
case41,n
case41,w
case42,a
case42,b
case42,d
case42,c
case42,f
case42,g
case42,h
case42,n
case42,w
case43,a
case43,b
case43,d
case43,c
case43,f
case43,g
case43,h
case43,n
case43,w
case44,a
case44,b
case44,d
case44,c
case44,f
case44,g
case44,h
case44,n
case44,w
case45,a
case45,b
case45,d
case45,c
case45,f
case45,g
case45,h
case45,n
case45,w
case46,a
case46,b
case46,d
case46,c
case46,f
case46,g
case46,h
case46,n
case46,w
case47,a
case47,b
case47,d
case47,c
case47,f
case47,g
case47,h
case47,n
case47,w
case48,a
case48,b
case48,d
case48,c
case48,f
case48,g
case48,h
case48,n
case48,w
case49,a
case49,b
case49,d
case49,c
case49,f
case49,g
case49,h
case49,n
case49,w
case50,a
case50,b
case50,d
case50,c
case50,f
case50,g
case50,h
case50,n
case50,w
case51,a
case51,b
case51,d
case51,c
case51,f
case51,g
case51,h
case51,n
case51,w
case52,a
case52,b
case52,c
case52,d
case52,f
case52,g
case52,h
case52,n
case52,w
case53,a
case53,b
case53,c
case53,d
case53,f
case53,g
case53,h
case53,n
case53,w
case54,a
case54,b
case54,c
case54,d
case54,f
case54,g
case54,h
case54,n
case54,w
case55,a
case55,b
case55,c
case55,d
case55,f
case55,g
case55,h
case55,n
case55,w
case56,a
case56,b
case56,c
case56,d
case56,f
case56,g
case56,h
case56,n
case56,w
case57,a
case57,b
case57,c
case57,d
case57,f
case57,g
case57,h
case57,n
case57,w
case58,a
case58,b
case58,c
case58,d
case58,f
case58,g
case58,h
case58,n
case58,w
case59,a
case59,b
case59,c
case59,d
case59,f
case59,g
case59,h
case59,n
case59,w
case60,a
case60,b
case60,c
case60,d
case60,f
case60,g
case60,h
case60,n
case60,w
case61,a
case61,b
case61,c
case61,d
case61,f
case61,g
case61,h
case61,n
case61,w
case62,a
case62,b
case62,c
case62,d
case62,f
case62,g
case62,h
case62,n
case62,w
case63,a
case63,b
case63,c
case63,d
case63,f
case63,g
case63,h
case63,n
case63,w
case64,a
case64,b
case64,c
case64,d
case64,f
case64,g
case64,h
case64,n
case64,w
case65,a
case65,b
case65,c
case65,d
case65,f
case65,g
case65,h
case65,n
case65,w
case66,a
case66,b
case66,c
case66,d
case66,f
case66,g
case66,h
case66,n
case66,w
case67,a
case67,b
case67,c
case67,d
case67,f
case67,g
case67,h
case67,n
case67,w
case68,a
case68,b
case68,c
case68,d
case68,f
case68,g
case68,h
case68,n
case68,w
case69,a
case69,b
case69,c
case69,d
case69,f
case69,g
case69,h
case69,n
case69,w
case70,a
case70,b
case70,c
case70,d
case70,f
case70,g
case70,h
case70,n
case70,w
case71,a
case71,b
case71,c
case71,d
case71,f
case71,g
case71,h
case71,n
case71,w
case72,a
case72,b
case72,c
case72,d
case72,f
case72,g
case72,h
case72,n
case72,w
case73,a
case73,b
case73,c
case73,d
case73,f
case73,g
case73,h
case73,n
case73,w
case74,a
case74,b
case74,c
case74,d
case74,f
case74,g
case74,h
case74,n
case74,w
case75,a
case75,b
case75,c
case75,d
case75,f
case75,g
case75,h
case75,n
case75,w
case76,a
case76,b
case76,c
case76,d
case76,f
case76,g
case76,h
case76,n
case76,w
case77,a
case77,b
case77,c
case77,d
case77,f
case77,g
case77,h
case77,n
case77,w
case78,a
case78,b
case78,c
case78,d
case78,f
case78,g
case78,h
case78,n
case78,w
case79,a
case79,b
case79,c
case79,d
case79,f
case79,g
case79,h
case79,n
case79,w
case80,a
case80,b
case80,c
case80,d
case80,f
case80,g
case80,h
case80,n
case80,w
case81,a
case81,b
case81,c
case81,d
case81,f
case81,g
case81,h
case81,n
case81,w
case82,a
case82,b
case82,c
case82,d
case82,f
case82,g
case82,h
case82,n
case82,w
case83,a
case83,b
case83,c
case83,d
case83,f
case83,g
case83,h
case83,n
case83,w
case84,a
case84,b
case84,c
case84,d
case84,f
case84,g
case84,h
case84,n
case84,w
case85,a
case85,b
case85,c
case85,d
case85,f
case85,g
case85,h
case85,n
case85,w
case86,a
case86,b
case86,c
case86,d
case86,f
case86,g
case86,h
case86,n
case86,w
case87,a
case87,b
case87,c
case87,d
case87,f
case87,g
case87,h
case87,n
case87,w
case88,a
case88,b
case88,c
case88,d
case88,f
case88,g
case88,h
case88,n
case88,w
case89,a
case89,b
case89,c
case89,d
case89,f
case89,g
case89,h
case89,n
case89,w
case90,a
case90,b
case90,c
case90,d
case90,f
case90,g
case90,h
case90,n
case90,w
case91,a
case91,b
case91,c
case91,d
case91,f
case91,g
case91,h
case91,n
case91,w
case92,a
case92,b
case92,c
case92,d
case92,f
case92,g
case92,h
case92,n
case92,w
case93,a
case93,b
case93,c
case93,d
case93,f
case93,g
case93,h
case93,n
case93,w
case94,a
case94,b
case94,c
case94,d
case94,f
case94,g
case94,h
case94,n
case94,w
case95,a
case95,b
case95,c
case95,d
case95,f
case95,g
case95,h
case95,n
case95,w
case96,a
case96,b
case96,c
case96,d
case96,f
case96,g
case96,h
case96,n
case96,w
case97,a
case97,b
case97,c
case97,d
case97,f
case97,g
case97,h
case97,n
case97,w
case98,a
case98,b
case98,c
case98,d
case98,f
case98,g
case98,h
case98,n
case98,w
case99,a
case99,b
