caseid,event
case0,a
case0,b
case0,r
case0,s
case0,t
case0,u
case0,v
case0,w
case1,a
case1,b
case1,r
case1,s
case1,t
case1,u
case1,v
case1,w
case2,a
case2,b
case2,r
case2,s
case2,t
case2,u
case2,v
case2,w
case3,a
case3,b
case3,r
case3,s
case3,t
case3,u
case3,v
case3,w
case4,a
case4,b
case4,r
case4,s
case4,t
case4,u
case4,v
case4,w
case5,a
case5,b
case5,r
case5,s
case5,t
case5,u
case5,v
case5,w
case6,a
case6,b
case6,r
case6,s
case6,t
case6,u
case6,v
case6,w
case7,a
case7,b
case7,r
case7,s
case7,t
case7,u
case7,v
case7,w
case8,a
case8,b
case8,r
case8,s
case8,t
case8,u
case8,v
case8,w
case9,a
case9,b
case9,r
case9,s
case9,t
case9,u
case9,v
case9,w
case10,a
case10,b
case10,r
case10,s
case10,t
case10,u
case10,v
case10,w
case11,a
case11,b
case11,r
case11,s
case11,t
case11,u
case11,v
case11,w
case12,a
case12,b
case12,r
case12,s
case12,t
case12,u
case12,v
case12,w
case13,a
case13,b
case13,r
case13,s
case13,t
case13,u
case13,v
case13,w
case14,a
case14,b
case14,r
case14,s
case14,t
case14,u
case14,v
case14,w
case15,a
case15,b
case15,r
case15,s
case15,t
case15,u
case15,v
case15,w
case16,a
case16,b
case16,r
case16,s
case16,t
case16,u
case16,v
case16,w
case17,a
case17,b
case17,r
case17,s
case17,t
case17,u
case17,v
case17,w
case18,a
case18,b
case18,r
case18,s
case18,t
case18,u
case18,v
case18,w
case19,a
case19,b
case19,r
case19,s
case19,t
case19,u
case19,v
case19,w
case20,a
case20,b
case20,r
case20,s
case20,t
case20,u
case20,v
case20,w
case21,a
case21,b
case21,r
case21,s
case21,t
case21,u
case21,v
case21,w
case22,a
case22,b
case22,r
case22,s
case22,t
case22,u
case22,v
case22,w
case23,a
case23,b
case23,r
case23,s
case23,t
case23,u
case23,v
case23,w
case24,a
case24,b
case24,r
case24,s
case24,t
case24,u
case24,v
case24,w
case25,a
case25,b
case25,r
case25,s
case25,t
case25,u
case25,v
case25,w
case26,a
case26,b
case26,r
case26,s
case26,t
case26,u
case26,v
case26,w
case27,a
case27,b
case27,r
case27,s
case27,t
case27,u
case27,v
case27,w
case28,a
case28,b
case28,r
case28,s
case28,t
case28,u
case28,v
case28,w
case29,a
case29,b
case29,r
case29,s
case29,t
case29,u
case29,v
case29,w
case30,a
case30,b
case30,r
case30,s
case30,t
case30,u
case30,v
case30,w
case31,a
case31,b
case31,r
case31,s
case31,t
case31,u
case31,v
case31,w
case32,a
case32,b
case32,r
case32,s
case32,t
case32,u
case32,v
case32,w
case33,a
case33,b
case33,r
case33,s
case33,t
case33,u
case33,v
case33,w
case34,a
case34,b
case34,r
case34,s
case34,t
case34,u
case34,v
case34,w
case35,a
case35,b
case35,r
case35,s
case35,t
case35,u
case35,v
case35,w
case36,a
case36,b
case36,r
case36,s
case36,t
case36,u
case36,v
case36,w
case37,a
case37,b
case37,r
case37,s
case37,t
case37,u
case37,v
case37,w
case38,a
case38,b
case38,r
case38,s
case38,t
case38,u
case38,v
case38,w
case39,a
case39,b
case39,r
case39,s
case39,t
case39,u
case39,v
case39,w
case40,a
case40,b
case40,r
case40,s
case40,t
case40,u
case40,v
case40,w
case41,a
case41,b
case41,r
case41,s
case41,t
case41,u
case41,v
case41,w
case42,a
case42,b
case42,r
case42,s
case42,t
case42,u
case42,v
case42,w
case43,a
case43,b
case43,r
case43,s
case43,t
case43,u
case43,v
case43,w
case44,a
case44,b
case44,r
case44,s
case44,t
case44,u
case44,v
case44,w
case45,a
case45,b
case45,r
case45,s
case45,t
case45,u
case45,v
case45,w
case46,a
case46,b
case46,r
case46,s
case46,t
case46,u
case46,v
case46,w
case47,a
case47,b
case47,r
case47,s
case47,t
case47,u
case47,v
case47,w
case48,a
case48,b
case48,r
case48,s
case48,t
case48,u
case48,v
case48,w
case49,a
case49,b
case49,r
case49,s
case49,t
case49,u
case49,v
case49,w
case50,a
case50,b
case50,r
case50,s
case50,t
case50,u
case50,v
case50,o
case50,q
case50,w
case51,a
case51,b
case51,r
case51,s
case51,t
case51,u
case51,v
case51,o
case51,q
case51,w
case52,a
case52,b
case52,r
case52,s
case52,t
case52,u
case52,v
case52,o
case52,q
case52,w
case53,a
case53,b
case53,r
case53,s
case53,t
case53,u
case53,v
case53,o
case53,q
case53,w
case54,a
case54,b
case54,r
case54,s
case54,t
case54,u
case54,v
case54,o
case54,q
case54,w
case55,a
case55,b
case55,r
case55,s
case55,t
case55,u
case55,v
case55,o
case55,q
case55,w
case56,a
case56,b
case56,r
case56,s
case56,t
case56,u
case56,v
case56,o
case56,q
case56,w
case57,a
case57,b
case57,r
case57,s
case57,t
case57,u
case57,v
case57,o
case57,q
case57,w
case58,a
case58,b
case58,r
case58,s
case58,t
case58,u
case58,v
case58,o
case58,q
case58,w
case59,a
case59,b
case59,r
case59,s
case59,t
case59,u
case59,v
case59,o
case59,q
case59,w
case60,a
case60,b
case60,r
case60,s
case60,t
case60,u
case60,v
case60,o
case60,q
case60,w
case61,a
case61,b
case61,r
case61,s
case61,t
case61,u
case61,v
case61,o
case61,q
case61,w
case62,a
case62,b
case62,r
case62,s
case62,t
case62,u
case62,v
case62,o
case62,q
case62,w
case63,a
case63,b
case63,r
case63,s
case63,t
case63,u
case63,v
case63,o
case63,q
case63,w
case64,a
case64,b
case64,r
case64,s
case64,t
case64,u
case64,v
case64,o
case64,q
case64,w
case65,a
case65,b
case65,r
case65,s
case65,t
case65,u
case65,v
case65,o
case65,q
case65,w
case66,a
case66,b
case66,r
case66,s
case66,t
case66,u
case66,v
case66,o
case66,q
case66,w
case67,a
case67,b
case67,r
case67,s
case67,t
case67,u
case67,v
case67,o
case67,q
case67,w
case68,a
case68,b
case68,r
case68,s
case68,t
case68,u
case68,v
case68,o
case68,q
case68,w
case69,a
case69,b
case69,r
case69,s
case69,t
case69,u
case69,v
case69,o
case69,q
case69,w
case70,a
case70,b
case70,r
case70,s
case70,t
case70,u
case70,v
case70,o
case70,q
case70,w
case71,a
case71,b
case71,r
case71,s
case71,t
case71,u
case71,v
case71,o
case71,q
case71,w
case72,a
case72,b
case72,r
case72,s
case72,t
case72,u
case72,v
case72,o
case72,q
case72,w
case73,a
case73,b
case73,r
case73,s
case73,t
case73,u
case73,v
case73,o
case73,q
case73,w
case74,a
case74,b
case74,r
case74,s
case74,t
case74,u
case74,v
case74,o
case74,q
case74,w
case75,a
case75,b
case75,r
case75,s
case75,t
case75,u
case75,v
case75,o
case75,q
case75,w
case76,a
case76,b
case76,r
case76,s
case76,t
case76,u
case76,v
case76,o
case76,q
case76,w
case77,a
case77,b
case77,r
case77,s
case77,t
case77,u
case77,v
case77,o
case77,q
case77,w
case78,a
case78,b
case78,r
case78,s
case78,t
case78,u
case78,v
case78,o
case78,q
case78,w
case79,a
case79,b
case79,r
case79,s
case79,t
case79,u
case79,v
case79,o
case79,q
case79,w
case80,a
case80,b
case80,r
case80,s
case80,t
case80,u
case80,v
case80,o
case80,q
case80,w
case81,a
case81,b
case81,r
case81,s
case81,t
case81,u
case81,v
case81,o
case81,q
case81,w
case82,a
case82,b
case82,r
case82,s
case82,t
case82,u
case82,v
case82,o
case82,q
case82,w
case83,a
case83,b
case83,r
case83,s
case83,t
case83,u
case83,v
case83,o
case83,q
case83,w
case84,a
case84,b
case84,r
case84,s
case84,t
case84,u
case84,v
case84,o
case84,q
case84,w
case85,a
case85,b
case85,r
case85,s
case85,t
case85,u
case85,v
case85,o
case85,q
case85,w
case86,a
case86,b
case86,r
case86,s
case86,t
case86,u
case86,v
case86,o
case86,q
case86,w
case87,a
case87,b
case87,r
case87,s
case87,t
case87,u
case87,v
case87,o
case87,q
case87,w
case88,a
case88,b
case88,r
case88,s
case88,t
case88,u
case88,v
case88,o
case88,q
case88,w
case89,a
case89,b
case89,r
case89,s
case89,t
case89,u
case89,v
case89,o
case89,q
case89,w
case90,a
case90,b
case90,r
case90,s
case90,t
case90,u
case90,v
case90,o
case90,q
case90,w
case91,a
case91,b
case91,r
case91,s
case91,t
case91,u
case91,v
case91,o
case91,q
case91,w
case92,a
case92,b
case92,r
case92,s
case92,t
case92,u
case92,v
case92,o
case92,q
case92,w
case93,a
case93,b
case93,r
case93,s
case93,t
case93,u
case93,v
case93,o
case93,q
case93,w
case94,a
case94,b
case94,r
case94,s
case94,t
case94,u
case94,v
case94,o
case94,q
case94,w
case95,a
case95,b
case95,r
case95,s
case95,t
case95,u
case95,v
case95,o
case95,q
case95,w
case96,a
case96,b
case96,r
case96,s
case96,t
case96,u
case96,v
case96,o
case96,q
case96,w
case97,a
case97,b
case97,r
case97,s
case97,t
case97,u
case97,v
case97,o
case97,q
case97,w
case98,a
case98,b
case98,r
case98,s
case98,t
case98,u
case98,v
case98,o
case98,p
case98,w
case99,a
case99,b
case99,r
