caseid,event
case0,a
case0,b
case0,c
case0,d
case0,f
case0,g
case0,h
case0,n
case0,w
case1,a
case1,b
case1,c
case1,d
case1,f
case1,g
case1,h
case1,n
case1,w
case2,a
case2,b
case2,c
case2,d
case2,f
case2,g
case2,h
case2,n
case2,w
case3,a
case3,b
case3,c
case3,d
case3,f
case3,g
case3,h
case3,n
case3,w
case4,a
case4,b
case4,c
case4,d
case4,f
case4,g
case4,h
case4,n
case4,w
case5,a
case5,b
case5,c
case5,d
case5,f
case5,g
case5,h
case5,n
case5,w
case6,a
case6,b
case6,c
case6,d
case6,f
case6,g
case6,h
case6,n
case6,w
case7,a
case7,b
case7,c
case7,d
case7,f
case7,g
case7,h
case7,n
case7,w
case8,a
case8,b
case8,c
case8,d
case8,f
case8,g
case8,h
case8,n
case8,w
case9,a
case9,b
case9,c
case9,d
case9,f
case9,g
case9,h
case9,n
case9,w
case10,a
case10,b
case10,c
case10,d
case10,f
case10,g
case10,h
case10,n
case10,w
case11,a
case11,b
case11,c
case11,d
case11,f
case11,g
case11,h
case11,n
case11,w
case12,a
case12,b
case12,c
case12,d
case12,f
case12,g
case12,h
case12,n
case12,w
case13,a
case13,b
case13,c
case13,d
case13,f
case13,g
case13,h
case13,n
case13,w
case14,a
case14,b
case14,c
case14,d
case14,f
case14,g
case14,h
case14,n
case14,w
case15,a
case15,b
case15,c
case15,d
case15,f
case15,g
case15,h
case15,n
case15,w
case16,a
case16,b
case16,c
case16,d
case16,f
case16,g
case16,h
case16,n
case16,w
case17,a
case17,b
case17,c
case17,d
case17,f
case17,g
case17,h
case17,n
case17,w
case18,a
case18,b
case18,c
case18,d
case18,f
case18,g
case18,h
case18,n
case18,w
case19,a
case19,b
case19,c
case19,d
case19,f
case19,g
case19,h
case19,n
case19,w
case20,a
case20,b
case20,c
case20,d
case20,f
case20,g
case20,h
case20,n
case20,w
case21,a
case21,b
case21,c
case21,d
case21,f
case21,g
case21,h
case21,n
case21,w
case22,a
case22,b
case22,c
case22,d
case22,f
case22,g
case22,h
case22,n
case22,w
case23,a
case23,b
case23,c
case23,d
case23,f
case23,g
case23,h
case23,n
case23,w
case24,a
case24,b
case24,c
case24,d
case24,f
case24,g
case24,h
case24,n
case24,w
case25,a
case25,b
case25,c
case25,d
case25,f
case25,g
case25,h
case25,n
case25,w
case26,a
case26,b
case26,c
case26,d
case26,f
case26,g
case26,h
case26,n
case26,w
case27,a
case27,b
case27,c
case27,d
case27,f
case27,g
case27,h
case27,n
case27,w
case28,a
case28,b
case28,c
case28,d
case28,f
case28,g
case28,h
case28,n
case28,w
case29,a
case29,b
case29,c
case29,d
case29,f
case29,g
case29,h
case29,n
case29,w
case30,a
case30,b
case30,c
case30,d
case30,f
case30,g
case30,h
case30,n
case30,w
case31,a
case31,b
case31,c
case31,d
case31,f
case31,g
case31,h
case31,n
case31,w
case32,a
case32,b
case32,c
case32,d
case32,f
case32,g
case32,h
case32,n
case32,w
case33,a
case33,b
case33,c
case33,d
case33,f
case33,g
case33,h
case33,n
case33,w
case34,a
case34,b
case34,c
case34,d
case34,f
case34,g
case34,h
case34,n
case34,w
case35,a
case35,b
case35,c
case35,d
case35,f
case35,g
case35,h
case35,n
case35,w
case36,a
case36,b
case36,c
case36,d
case36,f
case36,g
case36,h
case36,n
case36,w
case37,a
case37,b
case37,c
case37,d
case37,f
case37,g
case37,h
case37,n
case37,w
case38,a
case38,b
case38,c
case38,d
case38,f
case38,g
case38,h
case38,n
case38,w
case39,a
case39,b
case39,c
case39,d
case39,f
case39,g
case39,h
case39,n
case39,w
case40,a
case40,b
case40,c
case40,d
case40,f
case40,g
case40,h
case40,n
case40,w
case41,a
case41,b
case41,c
case41,d
case41,f
case41,g
case41,h
case41,n
case41,w
case42,a
case42,b
case42,c
case42,d
case42,f
case42,g
case42,h
case42,n
case42,w
case43,a
case43,b
case43,c
case43,d
case43,f
case43,g
case43,h
case43,n
case43,w
case44,a
case44,b
case44,c
case44,d
case44,f
case44,g
case44,h
case44,n
case44,w
case45,a
case45,b
case45,c
case45,d
case45,f
case45,g
case45,h
case45,n
case45,w
case46,a
case46,b
case46,c
case46,d
case46,f
case46,g
case46,h
case46,n
case46,w
case47,a
case47,b
case47,c
case47,d
case47,f
case47,g
case47,h
case47,n
case47,w
