caseid,event
case0,A
case0,N
case0,O
case0,Q
case0,R
case0,S
case0,C
case0,D
case0,F
case0,H
case0,I
case0,J
case0,K
case0,M
case1,A
case1,N
case1,O
case1,Q
case1,R
case1,S
case1,C
case1,D
case1,F
case1,H
case1,I
case1,J
case1,K
case1,M
case2,A
case2,N
case2,O
case2,Q
case2,R
case2,S
case2,C
case2,D
case2,F
case2,H
case2,I
case2,J
case2,K
case2,M
case3,A
case3,N
case3,O
case3,Q
case3,R
case3,S
case3,C
case3,D
case3,F
case3,H
case3,I
case3,J
case3,K
case3,M
case4,A
case4,N
case4,O
case4,Q
case4,R
case4,S
case4,C
case4,D
case4,F
case4,H
case4,I
case4,J
case4,K
case4,M
case5,A
case5,N
case5,O
case5,Q
case5,R
case5,S
case5,C
case5,D
case5,F
case5,H
case5,I
case5,J
case5,K
case5,M
case6,A
case6,N
case6,O
case6,Q
case6,R
case6,S
case6,C
case6,D
case6,F
case6,H
case6,I
case6,J
case6,K
case6,M
case7,A
case7,N
case7,O
case7,Q
case7,R
case7,S
case7,C
case7,D
case7,F
case7,H
case7,I
case7,J
case7,K
case7,M
case8,A
case8,N
case8,O
case8,Q
case8,R
case8,S
case8,C
case8,D
case8,F
case8,H
case8,I
case8,J
case8,K
case8,M
case9,A
case9,N
case9,O
case9,Q
case9,R
case9,S
case9,C
case9,D
case9,F
case9,H
case9,I
case9,J
case9,K
case9,M
case10,A
case10,N
case10,O
case10,Q
case10,R
case10,S
case10,C
case10,E
case10,G
case10,H
case10,I
case10,J
case10,K
case10,M
case11,A
case11,N
case11,O
case11,Q
case11,R
case11,S
case11,C
case11,E
case11,G
case11,H
case11,I
case11,J
case11,K
case11,M
case12,A
case12,N
case12,O
case12,Q
case12,R
case12,S
case12,C
case12,E
case12,G
case12,H
case12,I
case12,J
case12,K
case12,M
case13,A
case13,N
case13,O
case13,Q
case13,R
case13,S
case13,C
case13,E
case13,G
case13,H
case13,I
case13,J
case13,K
case13,M
case14,A
case14,N
case14,O
case14,Q
case14,R
case14,S
case14,C
case14,E
case14,G
case14,H
case14,I
case14,J
case14,K
case14,M
case15,A
case15,N
case15,O
case15,Q
case15,R
case15,S
case15,C
case15,E
case15,G
case15,H
case15,I
case15,J
case15,K
case15,M
case16,A
case16,N
case16,O
case16,Q
case16,R
case16,S
case16,C
case16,E
case16,G
case16,H
case16,I
case16,J
case16,K
case16,M
case17,A
case17,N
case17,O
case17,Q
case17,R
case17,S
case17,C
case17,E
case17,G
case17,H
case17,I
case17,J
case17,K
case17,M
case18,A
case18,N
case18,O
case18,Q
case18,R
case18,S
case18,C
case18,E
case18,G
case18,H
case18,I
case18,J
case18,K
case18,M
case19,A
case19,N
case19,O
case19,Q
case19,R
case19,S
case19,C
case19,E
case19,G
case19,H
case19,I
case19,J
case19,K
case19,M
case20,A
case20,N
case20,O
case20,Q
case20,R
case20,S
case20,C
case20,E
case20,G
case20,H
case20,I
case20,J
case20,L
case20,M
case21,A
case21,N
case21,O
case21,Q
case21,R
case21,S
case21,C
case21,E
case21,G
case21,H
case21,I
case21,J
case21,L
case21,M
case22,A
case22,N
case22,O
case22,Q
case22,R
case22,S
case22,C
case22,E
case22,G
case22,H
case22,I
case22,J
case22,L
case22,M
case23,A
case23,N
case23,O
case23,Q
case23,R
case23,S
case23,C
case23,E
case23,G
case23,H
case23,I
case23,J
case23,L
case23,M
case24,A
case24,N
case24,O
case24,Q
case24,R
case24,S
case24,C
case24,E
case24,G
case24,H
case24,I
case24,J
case24,L
case24,M
case25,A
case25,N
case25,O
case25,Q
case25,R
case25,S
case25,C
case25,E
case25,G
case25,H
case25,I
case25,J
case25,L
case25,M
case26,A
case26,N
case26,O
case26,Q
case26,R
case26,S
case26,C
case26,E
case26,G
case26,H
case26,I
case26,J
case26,L
case26,M
case27,A
case27,N
case27,O
case27,Q
case27,R
case27,S
case27,C
case27,E
case27,G
case27,H
case27,I
case27,J
case27,L
case27,M
case28,A
case28,N
case28,O
case28,Q
case28,R
case28,S
case28,C
case28,E
case28,G
case28,H
case28,I
case28,J
case28,L
case28,M
case29,A
case29,N
case29,O
case29,Q
case29,R
case29,S
case29,C
case29,E
case29,G
case29,H
case29,I
case29,J
case29,L
case29,M
case30,A
case30,N
case30,O
case30,P
case30,C
case30,E
case30,G
case30,H
case30,I
case30,J
case30,K
case30,M
case31,A
case31,N
case31,O
case31,P
case31,C
case31,E
case31,G
case31,H
case31,I
case31,J
case31,K
case31,M
case32,A
case32,N
case32,O
case32,P
case32,C
case32,E
case32,G
case32,H
case32,I
case32,J
case32,K
case32,M
case33,A
case33,N
case33,O
case33,P
case33,C
case33,E
case33,G
case33,H
case33,I
case33,J
case33,K
case33,M
case34,A
case34,N
case34,O
case34,P
case34,C
case34,E
case34,G
case34,H
case34,I
case34,J
case34,K
case34,M
case35,A
case35,N
case35,O
case35,P
case35,C
case35,E
case35,G
case35,H
case35,I
case35,J
case35,K
case35,M
case36,A
case36,N
case36,O
case36,P
case36,C
case36,E
case36,G
case36,H
case36,I
case36,J
case36,K
case36,M
case37,A
case37,N
case37,O
case37,P
case37,C
case37,E
case37,G
case37,H
case37,I
case37,J
case37,K
case37,M
case38,A
case38,N
case38,O
case38,P
case38,C
case38,E
case38,G
case38,H
case38,I
case38,J
case38,K
case38,M
case39,A
case39,N
case39,O
case39,P
case39,C
case39,E
case39,G
case39,H
case39,I
case39,J
case39,K
case39,M
case40,A
case40,N
case40,O
case40,P
case40,C
case40,D
case40,F
case40,H
case40,I
case40,J
case40,K
case40,M
case41,A
case41,N
case41,O
case41,P
case41,C
case41,D
case41,F
case41,H
case41,I
case41,J
case41,K
case41,M
case42,A
case42,N
case42,O
case42,P
case42,C
case42,D
case42,F
case42,H
case42,I
case42,J
case42,K
case42,M
case43,A
case43,N
case43,O
case43,P
case43,C
case43,D
case43,F
case43,H
case43,I
case43,J
case43,K
case43,M
case44,A
case44,N
case44,O
case44,P
case44,C
case44,D
case44,F
case44,H
case44,I
case44,J
case44,K
case44,M
case45,A
case45,N
case45,O
case45,P
case45,C
case45,D
case45,F
case45,H
case45,I
case45,J
case45,K
case45,M
case46,A
case46,N
case46,O
case46,P
case46,C
case46,D
case46,F
case46,H
case46,I
case46,J
case46,K
case46,M
case47,A
case47,N
case47,O
case47,P
case47,C
case47,D
