caseid,event
case0,A
case0,N
case0,O
case0,P
case0,C
case0,D
case0,F
case0,H
case0,c
case0,d
case0,D
case0,F
case0,H
case0,I
case0,J
case0,K
case0,M
case1,A
case1,N
case1,O
case1,P
case1,C
case1,D
case1,F
case1,H
case1,c
case1,d
case1,D
case1,F
case1,H
case1,I
case1,J
case1,K
case1,M
case2,A
case2,N
case2,O
case2,P
case2,C
case2,D
case2,F
case2,H
case2,c
case2,d
case2,D
case2,F
case2,H
case2,I
case2,J
case2,K
case2,M
case3,A
case3,N
case3,O
case3,P
case3,C
case3,D
case3,F
case3,H
case3,c
case3,d
case3,D
case3,F
case3,H
case3,I
case3,J
case3,K
case3,M
case4,A
case4,N
case4,O
case4,P
case4,C
case4,D
case4,F
case4,H
case4,c
case4,d
case4,D
case4,F
case4,H
case4,I
case4,J
case4,K
case4,M
case5,A
case5,N
case5,O
case5,P
case5,C
case5,D
case5,F
case5,H
case5,c
case5,d
case5,D
case5,F
case5,H
case5,I
case5,J
case5,K
case5,M
case6,A
case6,N
case6,O
case6,P
case6,C
case6,D
case6,F
case6,H
case6,c
case6,d
case6,D
case6,F
case6,H
case6,I
case6,J
case6,K
case6,M
case7,A
case7,N
case7,O
case7,P
case7,C
case7,D
case7,F
case7,H
case7,c
case7,d
case7,D
case7,F
case7,H
case7,I
case7,J
case7,K
case7,M
case8,A
case8,N
case8,O
case8,P
case8,C
case8,D
case8,F
case8,H
case8,c
case8,d
case8,D
case8,F
case8,H
case8,I
case8,J
case8,K
case8,M
case9,A
case9,N
case9,O
case9,P
case9,C
case9,D
case9,F
case9,H
case9,c
case9,d
case9,D
case9,F
case9,H
case9,I
case9,J
case9,K
case9,M
case10,A
case10,N
case10,O
case10,P
case10,C
case10,E
case10,G
case10,H
case10,c
case10,d
case10,E
case10,G
case10,H
case10,I
case10,J
case10,K
case10,M
case11,A
case11,N
case11,O
case11,P
case11,C
case11,E
case11,G
case11,H
case11,c
case11,d
case11,E
case11,G
case11,H
case11,I
case11,J
case11,K
case11,M
case12,A
case12,N
case12,O
case12,P
case12,C
case12,E
case12,G
case12,H
case12,c
case12,d
case12,E
case12,G
case12,H
case12,I
case12,J
case12,K
case12,M
case13,A
case13,N
case13,O
case13,P
case13,C
case13,E
case13,G
case13,H
case13,c
case13,d
case13,E
case13,G
case13,H
case13,I
case13,J
case13,K
case13,M
case14,A
case14,N
case14,O
case14,P
case14,C
case14,E
case14,G
case14,H
case14,c
case14,d
case14,E
case14,G
case14,H
case14,I
case14,J
case14,K
case14,M
case15,A
case15,N
case15,O
case15,P
case15,C
case15,E
case15,G
case15,H
case15,c
case15,d
case15,E
case15,G
case15,H
case15,I
case15,J
case15,K
case15,M
case16,A
case16,N
case16,O
case16,P
case16,C
case16,E
case16,G
case16,H
case16,c
case16,d
case16,E
case16,G
case16,H
case16,I
case16,J
case16,K
case16,M
case17,A
case17,N
case17,O
case17,P
case17,C
case17,E
case17,G
case17,H
case17,c
case17,d
case17,E
case17,G
case17,H
case17,I
case17,J
case17,K
case17,M
case18,A
case18,N
case18,O
case18,P
case18,C
case18,E
case18,G
case18,H
case18,c
case18,d
case18,E
case18,G
case18,H
case18,I
case18,J
case18,K
case18,M
case19,A
case19,N
case19,O
case19,P
case19,C
case19,E
case19,G
case19,H
case19,c
case19,d
case19,E
case19,G
case19,H
case19,I
case19,J
case19,K
case19,M
case20,A
case20,N
case20,O
case20,P
case20,C
case20,D
case20,F
case20,H
case20,c
case20,d
case20,D
case20,F
case20,H
case20,I
case20,J
case20,L
case20,M
case21,A
case21,N
case21,O
case21,P
case21,C
case21,D
case21,F
case21,H
case21,c
case21,d
case21,D
case21,F
case21,H
case21,I
case21,J
case21,L
case21,M
case22,A
case22,N
case22,O
case22,P
case22,C
case22,D
case22,F
case22,H
case22,c
case22,d
case22,D
case22,F
case22,H
case22,I
case22,J
case22,L
case22,M
case23,A
case23,N
case23,O
case23,P
case23,C
case23,D
case23,F
case23,H
case23,c
case23,d
case23,D
case23,F
case23,H
case23,I
case23,J
case23,L
case23,M
case24,A
case24,N
case24,O
case24,P
case24,C
case24,D
case24,F
case24,H
case24,c
case24,d
case24,D
case24,F
case24,H
case24,I
case24,J
case24,L
case24,M
case25,A
case25,N
case25,O
case25,P
case25,C
case25,D
case25,F
case25,H
case25,c
case25,d
case25,D
case25,F
case25,H
case25,I
case25,J
case25,L
case25,M
case26,A
case26,N
case26,O
case26,P
case26,C
case26,D
case26,F
case26,H
case26,c
case26,d
case26,D
case26,F
case26,H
case26,I
case26,J
case26,L
case26,M
case27,A
case27,N
case27,O
case27,P
case27,C
case27,D
case27,F
case27,H
case27,c
case27,d
case27,D
case27,F
case27,H
case27,I
case27,J
case27,L
case27,M
case28,A
case28,N
case28,O
case28,P
case28,C
case28,D
case28,F
case28,H
case28,c
case28,d
case28,D
case28,F
case28,H
case28,I
case28,J
case28,L
case28,M
case29,A
case29,N
case29,O
case29,P
case29,C
case29,D
case29,F
case29,H
case29,c
case29,d
case29,D
case29,F
case29,H
case29,I
case29,J
case29,L
case29,M
case30,A
case30,N
case30,O
case30,P
case30,C
case30,E
case30,G
case30,H
case30,c
case30,d
case30,E
case30,G
case30,H
case30,I
case30,J
case30,L
case30,M
case31,A
case31,N
case31,O
case31,P
case31,C
case31,E
case31,G
case31,H
case31,c
case31,d
case31,E
case31,G
case31,H
case31,I
case31,J
case31,L
case31,M
case32,A
case32,N
case32,O
case32,P
case32,C
case32,E
case32,G
case32,H
case32,c
case32,d
case32,E
case32,G
case32,H
case32,I
case32,J
case32,L
case32,M
case33,A
case33,N
case33,O
case33,P
case33,C
case33,E
case33,G
case33,H
case33,c
case33,d
case33,E
case33,G
case33,H
case33,I
case33,J
case33,L
case33,M
case34,A
case34,N
case34,O
case34,P
case34,C
case34,E
case34,G
case34,H
case34,c
case34,d
case34,E
case34,G
case34,H
case34,I
case34,J
case34,L
case34,M
case35,A
case35,N
case35,O
case35,P
case35,C
case35,E
case35,G
case35,H
case35,c
case35,d
case35,E
case35,G
case35,H
case35,I
case35,J
case35,L
case35,M
case36,A
case36,N
case36,O
case36,P
case36,C
case36,E
case36,G
case36,H
case36,c
case36,d
case36,E
case36,G
case36,H
case36,I
case36,J
case36,L
case36,M
case37,A
case37,N
case37,O
case37,P
case37,C
case37,E
case37,G
