caseid,event
case0,A
case0,B
case0,C
case0,D
case0,F
case0,H
case0,I
case0,J
case0,K
case0,M
case1,A
case1,B
case1,C
case1,D
case1,F
case1,H
case1,I
case1,J
case1,K
case1,M
case2,A
case2,B
case2,C
case2,D
case2,F
case2,H
case2,I
case2,J
case2,K
case2,M
case3,A
case3,B
case3,C
case3,D
case3,F
case3,H
case3,I
case3,J
case3,K
case3,M
case4,A
case4,B
case4,C
case4,D
case4,F
case4,H
case4,I
case4,J
case4,K
case4,M
case5,A
case5,B
case5,C
case5,D
case5,F
case5,H
case5,I
case5,J
case5,K
case5,M
case6,A
case6,B
case6,C
case6,D
case6,F
case6,H
case6,I
case6,J
case6,K
case6,M
case7,A
case7,B
case7,C
case7,D
case7,F
case7,H
case7,I
case7,J
case7,K
case7,M
case8,A
case8,B
case8,C
case8,D
case8,F
case8,H
case8,I
case8,J
case8,K
case8,M
case9,A
case9,B
case9,C
case9,D
case9,F
case9,H
case9,I
case9,J
case9,K
case9,M
case10,A
case10,B
case10,C
case10,E
case10,G
case10,H
case10,I
case10,J
case10,K
case10,M
case11,A
case11,B
case11,C
case11,E
case11,G
case11,H
case11,I
case11,J
case11,K
case11,M
case12,A
case12,B
case12,C
case12,E
case12,G
case12,H
case12,I
case12,J
case12,K
case12,M
case13,A
case13,B
case13,C
case13,E
case13,G
case13,H
case13,I
case13,J
case13,K
case13,M
case14,A
case14,B
case14,C
case14,E
case14,G
case14,H
case14,I
case14,J
case14,K
case14,M
case15,A
case15,B
case15,C
case15,E
case15,G
case15,H
case15,I
case15,J
case15,K
case15,M
case16,A
case16,B
case16,C
case16,E
case16,G
case16,H
case16,I
case16,J
case16,K
case16,M
case17,A
case17,B
case17,C
case17,E
case17,G
case17,H
case17,I
case17,J
case17,K
case17,M
case18,A
case18,B
case18,C
case18,E
case18,G
case18,H
case18,I
case18,J
case18,K
case18,M
case19,A
case19,B
case19,C
case19,E
case19,G
case19,H
case19,I
case19,J
case19,K
case19,M
case20,A
case20,B
case20,C
case20,D
case20,F
case20,H
case20,I
case20,J
case20,L
case20,M
case21,A
case21,B
case21,C
case21,D
case21,F
case21,H
case21,I
case21,J
case21,L
case21,M
case22,A
case22,B
case22,C
case22,D
case22,F
case22,H
case22,I
case22,J
case22,L
case22,M
case23,A
case23,B
case23,C
case23,D
case23,F
case23,H
case23,I
case23,J
case23,L
case23,M
case24,A
case24,B
case24,C
case24,D
case24,F
case24,H
case24,I
case24,J
case24,L
case24,M
case25,A
case25,B
case25,C
case25,D
case25,F
case25,H
case25,I
case25,J
case25,L
case25,M
case26,A
case26,B
case26,C
case26,D
case26,F
case26,H
case26,I
case26,J
case26,L
case26,M
case27,A
case27,B
case27,C
case27,D
case27,F
case27,H
case27,I
case27,J
case27,L
case27,M
case28,A
case28,B
case28,C
case28,D
case28,F
case28,H
case28,I
case28,J
case28,L
case28,M
case29,A
case29,B
case29,C
case29,D
case29,F
case29,H
case29,I
case29,J
case29,L
case29,M
case30,A
case30,B
case30,C
case30,E
case30,G
case30,H
case30,I
case30,J
case30,L
case30,M
case31,A
case31,B
case31,C
case31,E
case31,G
case31,H
case31,I
case31,J
case31,L
case31,M
case32,A
case32,B
case32,C
case32,E
case32,G
case32,H
case32,I
case32,J
case32,L
case32,M
case33,A
case33,B
case33,C
case33,E
case33,G
case33,H
case33,I
case33,J
case33,L
case33,M
case34,A
case34,B
case34,C
case34,E
case34,G
case34,H
case34,I
case34,J
case34,L
case34,M
case35,A
case35,B
case35,C
case35,E
case35,G
case35,H
case35,I
case35,J
case35,L
case35,M
case36,A
case36,B
case36,C
case36,E
case36,G
case36,H
case36,I
case36,J
case36,L
case36,M
case37,A
case37,B
case37,C
case37,E
case37,G
case37,H
case37,I
case37,J
case37,L
case37,M
case38,A
case38,B
case38,C
case38,E
case38,G
case38,H
case38,I
case38,J
case38,L
case38,M
case39,A
case39,B
case39,C
case39,E
case39,G
case39,H
case39,I
case39,J
case39,L
case39,M
case40,A
case40,B
case40,C
case40,E
case40,G
case40,H
case40,c
case40,d
case40,E
case40,G
case40,H
case40,I
case40,J
case40,K
case40,M
case41,A
case41,B
case41,C
case41,E
case41,G
case41,H
case41,c
case41,d
case41,E
case41,G
case41,H
case41,I
case41,J
case41,K
case41,M
case42,A
case42,B
case42,C
case42,E
case42,G
case42,H
case42,c
case42,d
case42,E
case42,G
case42,H
case42,I
case42,J
case42,K
case42,M
case43,A
case43,B
case43,C
case43,E
case43,G
case43,H
case43,c
case43,d
case43,E
case43,G
case43,H
case43,I
case43,J
case43,K
case43,M
case44,A
case44,B
case44,C
case44,E
case44,G
case44,H
case44,c
case44,d
case44,E
case44,G
case44,H
case44,I
case44,J
case44,K
case44,M
case45,A
case45,B
case45,C
case45,E
case45,G
case45,H
case45,c
case45,d
case45,E
case45,G
case45,H
case45,I
case45,J
case45,K
case45,M
case46,A
case46,B
case46,C
case46,E
case46,G
case46,H
case46,c
case46,d
case46,E
case46,G
case46,H
case46,I
case46,J
case46,K
case46,M
case47,A
case47,B
case47,C
case47,E
case47,G
case47,H
case47,c
case47,d
case47,E
case47,G
case47,H
case47,I
case47,J
case47,K
case47,M
case48,A
case48,B
case48,C
case48,E
case48,G
case48,H
case48,c
case48,d
case48,E
case48,G
case48,H
case48,I
case48,J
case48,K
case48,M
case49,A
case49,B
case49,C
case49,E
case49,G
case49,H
case49,c
case49,d
case49,E
case49,G
case49,H
case49,I
case49,J
case49,K
case49,M
case50,A
case50,B
case50,C
case50,D
case50,F
case50,H
case50,c
case50,d
case50,D
case50,F
case50,H
case50,I
case50,J
case50,K
case50,M
case51,A
case51,B
case51,C
case51,D
case51,F
case51,H
case51,c
case51,d
case51,D
case51,F
case51,H
case51,I
case51,J
case51,K
case51,M
case52,A
case52,B
case52,C
case52,D
case52,F
case52,H
case52,c
case52,d
case52,D
case52,F
case52,H
case52,I
case52,J
case52,K
case52,M
case53,A
case53,B
case53,C
case53,D
case53,F
case53,H
case53,c
case53,d
case53,D
case53,F
case53,H
case53,I
case53,J
case53,K
case53,M
case54,A
case54,B
case54,C
case54,D
case54,F
case54,H
case54,c
case54,d
case54,D
case54,F
case54,H
case54,I
case54,J
case54,K
case54,M
case55,A
case55,B
case55,C
case55,D
case55,F
case55,H
case55,c
case55,d
case55,D
case55,F
case55,H
case55,I
case55,J
case55,K
case55,M
case56,A
case56,B
case56,C
case56,D
case56,F
case56,H
case56,c
case56,d
case56,D
case56,F
case56,H
case56,I
case56,J
case56,K
case56,M
case57,A
case57,B
case57,C
case57,D
case57,F
case57,H
case57,c
case57,d
case57,D
case57,F
case57,H
case57,I
case57,J
case57,K
case57,M
case58,A
case58,B
case58,C
case58,D
case58,F
case58,H
case58,c
case58,d
case58,D
case58,F
case58,H
case58,I
case58,J
case58,K
case58,M
case59,A
case59,B
case59,C
case59,D
case59,F
case59,H
case59,c
case59,d
case59,D
case59,F
case59,H
case59,I
case59,J
case59,K
case59,M
case60,A
case60,B
case60,C
case60,E
case60,G
case60,H
case60,c
case60,d
case60,E
case60,G
case60,H
case60,I
case60,J
case60,L
case60,M
case61,A
case61,B
case61,C
case61,E
case61,G
case61,H
case61,c
case61,d
case61,E
case61,G
case61,H
case61,I
case61,J
case61,L
case61,M
case62,A
case62,B
case62,C
case62,E
case62,G
case62,H
case62,c
case62,d
case62,E
case62,G
case62,H
case62,I
case62,J
case62,L
case62,M
case63,A
case63,B
case63,C
case63,E
case63,G
case63,H
case63,c
case63,d
case63,E
case63,G
case63,H
case63,I
case63,J
case63,L
case63,M
case64,A
case64,B
case64,C
case64,E
case64,G
case64,H
case64,c
case64,d
case64,E
case64,G
case64,H
case64,I
case64,J
case64,L
case64,M
case65,A
case65,B
case65,C
case65,E
case65,G
case65,H
case65,c
case65,d
case65,E
case65,G
case65,H
case65,I
case65,J
case65,L
case65,M
case66,A
case66,B
case66,C
case66,E
case66,G
case66,H
case66,c
case66,d
case66,E
case66,G
case66,H
case66,I
case66,J
case66,L
case66,M
case67,A
case67,B
case67,C
case67,E
case67,G
case67,H
case67,c
case67,d
case67,E
case67,G
case67,H
case67,I
case67,J
case67,L
case67,M
case68,A
case68,B
case68,C
case68,E
case68,G
case68,H
case68,c
case68,d
case68,E
case68,G
case68,H
case68,I
case68,J
case68,L
case68,M
case69,A
case69,B
case69,C
case69,E
case69,G
case69,H
case69,c
case69,d
case69,E
case69,G
case69,H
case69,I
case69,J
case69,L
case69,M
case70,A
case70,B
case70,C
case70,D
case70,F
case70,H
case70,c
case70,d
case70,D
case70,F
case70,H
case70,I
case70,J
case70,L
case70,M
case71,A
case71,B
case71,C
case71,D
case71,F
case71,H
case71,c
case71,d
case71,D
case71,F
case71,H
case71,I
case71,J
case71,L
case71,M
case72,A
case72,B
case72,C
case72,D
case72,F
case72,H
case72,c
case72,d
case72,D
case72,F
case72,H
case72,I
case72,J
