caseid,event
case0,A
case0,B
case0,C
case0,D
case0,F
case0,H
case0,I
case0,J
case0,K
case0,M
case1,A
case1,B
case1,C
case1,D
case1,F
case1,H
case1,I
case1,J
case1,K
case1,M
case2,A
case2,B
case2,C
case2,D
case2,F
case2,H
case2,I
case2,J
case2,K
case2,M
case3,A
case3,B
case3,C
case3,D
case3,F
case3,H
case3,I
case3,J
case3,K
case3,M
case4,A
case4,B
case4,C
case4,D
case4,F
case4,H
case4,I
case4,J
case4,K
case4,M
case5,A
case5,B
case5,C
case5,D
case5,F
case5,H
case5,I
case5,J
case5,K
case5,M
case6,A
case6,B
case6,C
case6,D
case6,F
case6,H
case6,I
case6,J
case6,K
case6,M
case7,A
case7,B
case7,C
case7,D
case7,F
case7,H
case7,I
case7,J
case7,K
case7,M
case8,A
case8,B
case8,C
case8,D
case8,F
case8,H
case8,I
case8,J
case8,K
case8,M
case9,A
case9,B
case9,C
case9,D
case9,F
case9,H
case9,I
case9,J
case9,K
case9,M
case10,A
case10,B
case10,C
case10,D
case10,F
case10,H
case10,I
case10,J
case10,L
case10,M
case11,A
case11,B
case11,C
case11,D
case11,F
case11,H
case11,I
case11,J
case11,L
case11,M
case12,A
case12,B
case12,C
case12,D
case12,F
case12,H
case12,I
case12,J
case12,L
case12,M
case13,A
case13,B
case13,C
case13,D
case13,F
case13,H
case13,I
case13,J
case13,L
case13,M
case14,A
case14,B
case14,C
case14,D
case14,F
case14,H
case14,I
case14,J
case14,L
case14,M
case15,A
case15,B
case15,C
case15,D
case15,F
case15,H
case15,I
case15,J
case15,L
case15,M
case16,A
case16,B
case16,C
case16,D
case16,F
case16,H
case16,I
case16,J
case16,L
case16,M
case17,A
case17,B
case17,C
case17,D
case17,F
case17,H
case17,I
case17,J
case17,L
case17,M
case18,A
case18,B
case18,C
case18,D
case18,F
case18,H
case18,I
case18,J
case18,L
case18,M
case19,A
case19,B
case19,C
case19,D
case19,F
case19,H
case19,I
case19,J
case19,L
case19,M
case20,A
case20,B
case20,C
case20,E
case20,G
case20,H
case20,c
case20,d
case20,E
case20,G
case20,H
case20,I
case20,J
case20,K
case20,M
case21,A
case21,B
case21,C
case21,E
case21,G
case21,H
case21,c
case21,d
case21,E
case21,G
case21,H
case21,I
case21,J
case21,K
case21,M
case22,A
case22,B
case22,C
case22,E
case22,G
case22,H
case22,c
case22,d
case22,E
case22,G
case22,H
case22,I
case22,J
case22,K
case22,M
case23,A
case23,B
case23,C
case23,E
case23,G
case23,H
case23,c
case23,d
case23,E
case23,G
case23,H
case23,I
case23,J
case23,K
case23,M
case24,A
case24,B
case24,C
case24,E
case24,G
case24,H
case24,c
case24,d
case24,E
case24,G
case24,H
case24,I
case24,J
case24,K
case24,M
case25,A
case25,B
case25,C
case25,E
case25,G
case25,H
case25,c
case25,d
case25,E
case25,G
case25,H
case25,I
case25,J
case25,K
case25,M
case26,A
case26,B
case26,C
case26,E
case26,G
case26,H
case26,c
case26,d
case26,E
case26,G
case26,H
case26,I
case26,J
case26,K
case26,M
case27,A
case27,B
case27,C
case27,E
case27,G
case27,H
case27,c
case27,d
case27,E
case27,G
case27,H
case27,I
case27,J
case27,K
case27,M
case28,A
case28,B
case28,C
case28,E
case28,G
case28,H
case28,c
case28,d
case28,E
case28,G
case28,H
case28,I
case28,J
case28,K
case28,M
case29,A
case29,B
case29,C
case29,E
case29,G
case29,H
case29,c
case29,d
case29,E
case29,G
case29,H
case29,I
case29,J
case29,K
case29,M
case30,A
case30,B
case30,C
case30,D
case30,F
case30,H
case30,c
case30,d
case30,D
case30,F
case30,H
case30,I
case30,J
case30,K
case30,M
case31,A
case31,B
case31,C
case31,D
case31,F
case31,H
case31,c
case31,d
case31,D
case31,F
case31,H
case31,I
case31,J
case31,K
case31,M
case32,A
case32,B
case32,C
case32,D
case32,F
case32,H
case32,c
case32,d
case32,D
case32,F
case32,H
case32,I
case32,J
case32,K
case32,M
case33,A
case33,B
case33,C
case33,D
case33,F
case33,H
case33,c
case33,d
case33,D
case33,F
case33,H
case33,I
case33,J
case33,K
case33,M
case34,A
case34,B
case34,C
case34,D
case34,F
case34,H
case34,c
case34,d
case34,D
case34,F
case34,H
case34,I
case34,J
case34,K
case34,M
case35,A
case35,B
case35,C
case35,D
case35,F
case35,H
case35,c
case35,d
case35,D
case35,F
case35,H
case35,I
case35,J
case35,K
case35,M
case36,A
case36,B
case36,C
case36,D
case36,F
case36,H
case36,c
case36,d
case36,D
case36,F
case36,H
case36,I
case36,J
case36,K
case36,M
case37,A
case37,B
case37,C
case37,D
case37,F
case37,H
case37,c
case37,d
case37,D
case37,F
case37,H
case37,I
case37,J
case37,K
case37,M
case38,A
case38,B
case38,C
case38,D
case38,F
case38,H
case38,c
case38,d
case38,D
case38,F
case38,H
case38,I
case38,J
case38,K
case38,M
case39,A
case39,B
case39,C
case39,D
case39,F
case39,H
case39,c
case39,d
case39,D
case39,F
case39,H
case39,I
case39,J
case39,K
case39,M
case40,A
case40,B
case40,C
case40,E
case40,G
case40,H
case40,c
case40,d
case40,E
case40,G
case40,H
case40,I
case40,J
case40,L
case40,M
case41,A
case41,B
case41,C
case41,E
case41,G
case41,H
case41,c
case41,d
case41,E
case41,G
case41,H
case41,I
case41,J
case41,L
case41,M
case42,A
case42,B
case42,C
case42,E
case42,G
case42,H
case42,c
case42,d
case42,E
case42,G
case42,H
case42,I
case42,J
case42,L
case42,M
case43,A
case43,B
case43,C
case43,E
case43,G
case43,H
case43,c
case43,d
case43,E
case43,G
case43,H
case43,I
case43,J
case43,L
case43,M
case44,A
case44,B
case44,C
case44,E
case44,G
case44,H
case44,c
case44,d
case44,E
case44,G
case44,H
case44,I
case44,J
case44,L
case44,M
case45,A
case45,B
case45,C
case45,E
case45,G
case45,H
case45,c
case45,d
case45,E
case45,G
case45,H
case45,I
case45,J
case45,L
case45,M
case46,A
case46,B
case46,C
case46,E
case46,G
case46,H
case46,c
case46,d
case46,E
case46,G
case46,H
case46,I
case46,J
case46,L
case46,M
case47,A
case47,B
case47,C
case47,E
case47,G
case47,H
case47,c
case47,d
case47,E
case47,G
case47,H
case47,I
case47,J
case47,L
case47,M
case48,A
case48,B
case48,C
case48,E
case48,G
case48,H
case48,c
case48,d
case48,E
case48,G
case48,H
case48,I
case48,J
case48,L
case48,M
case49,A
case49,B
case49,C
case49,E
case49,G
case49,H
case49,c
case49,d
case49,E
case49,G
case49,H
case49,I
case49,J
case49,L
case49,M
case50,A
case50,B
case50,C
case50,D
case50,F
case50,H
case50,c
case50,d
case50,D
case50,F
case50,H
case50,I
case50,J
case50,L
case50,M
case51,A
case51,B
case51,C
case51,D
case51,F
case51,H
case51,c
case51,d
case51,D
case51,F
case51,H
case51,I
case51,J
case51,L
case51,M
case52,A
case52,B
case52,C
case52,D
case52,F
case52,H
case52,c
case52,d
case52,D
case52,F
case52,H
case52,I
case52,J
case52,L
case52,M
case53,A
case53,B
case53,C
case53,D
case53,F
case53,H
case53,c
case53,d
case53,D
case53,F
case53,H
case53,I
case53,J
case53,L
case53,M
case54,A
case54,B
case54,C
case54,D
case54,F
case54,H
case54,c
case54,d
case54,D
case54,F
case54,H
case54,I
case54,J
case54,L
case54,M
case55,A
case55,B
case55,C
case55,D
case55,F
case55,H
case55,c
case55,d
case55,D
case55,F
case55,H
case55,I
case55,J
case55,L
case55,M
case56,A
case56,B
case56,C
case56,D
case56,F
case56,H
case56,c
case56,d
case56,D
case56,F
case56,H
case56,I
case56,J
case56,L
case56,M
case57,A
case57,B
case57,C
case57,D
case57,F
case57,H
case57,c
case57,d
case57,D
case57,F
case57,H
case57,I
case57,J
case57,L
case57,M
case58,A
case58,B
case58,C
case58,D
case58,F
case58,H
case58,c
case58,d
case58,D
case58,F
case58,H
case58,I
case58,J
case58,L
case58,M
case59,A
case59,B
case59,C
case59,D
case59,F
case59,H
case59,c
case59,d
case59,D
case59,F
case59,H
case59,I
case59,J
case59,L
case59,M
case60,A
case60,N
case60,O
case60,P
case60,C
case60,D
case60,F
case60,H
case60,c
case60,d
case60,D
case60,F
case60,H
case60,I
case60,J
case60,K
case60,M
case61,A
case61,N
case61,O
case61,P
case61,C
case61,D
case61,F
case61,H
case61,c
case61,d
case61,D
case61,F
case61,H
case61,I
case61,J
case61,K
case61,M
case62,A
case62,N
case62,O
case62,P
case62,C
case62,D
case62,F
case62,H
case62,c
case62,d
case62,D
case62,F
case62,H
case62,I
case62,J
case62,K
case62,M
case63,A
case63,N
case63,O
case63,P
case63,C
case63,D
case63,F
case63,H
case63,c
case63,d
case63,D
case63,F
case63,H
case63,I
case63,J
case63,K
case63,M
case64,A
case64,N
case64,O
case64,P
case64,C
case64,D
case64,F
case64,H
case64,c
case64,d
case64,D
case64,F
case64,H
case64,I
case64,J
case64,K
case64,M
case65,A
case65,N
case65,O
case65,P
case65,C
case65,D
case65,F
case65,H
